id_comparacao;id_hospital;imag_medica;tempo_espera;cuidados;exp_pacientes;read_nacional;seguranca_nac;mortalidade_nac;data_comparacao
1345;100121;Not Available;Above the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1346;100127;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
1347;50231;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1348;50742;Not Available;Same as the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Above the national average;2017-05-20
1349;10169;Not Available;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1350;33301;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1351;171343;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1352;213300;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1353;171337;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1354;131318;Same as the national average;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1355;191313;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1356;151335;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1357;171354;Not Available;Above the national average;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1358;111329;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1359;150026;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Below the national average;2017-05-20
1360;140228;Above the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
1361;210063;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1362;170120;Below the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1363;160153;Same as the national average;Above the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;Below the national average;2017-05-20
1364;161320;Not Available;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1365;210045;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1366;210057;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1367;170175;Not Available;Above the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1368;131303;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1369;200050;Same as the national average;Below the national average;Above the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1370;220036;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Above the national average;2017-05-20
1371;140077;Not Available;Below the national average;Same as the national average;Below the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1372;140095;Not Available;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1373;121308;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1374;200008;Same as the national average;Below the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
